經度,緯度,屋齡,面積,建物類型,用途,樓別/樓高,佈局,電梯,管理員,車位數量,價格,行政區,交易年份
120.71537827632521,24.25324283997037,32,14.96,華廈(10層含以下有電梯),住家用,四層/五層,1房1廳1衛,有,有,0,"2,600,000",豐原區,113
120.72559430119958,24.26077390930656,32,52.08,透天厝,住家用,全/四層,4房3廳3衛,無,無,0,"13,000,000",豐原區,113
120.72263904278304,24.23836708758586,48,33.31,透天厝,住家用,全/二層,6房2廳1衛,無,無,0,"8,000,000",豐原區,113
120.71223206265377,24.259692806599855,19,56.37,透天厝,商業用,全/四層,5房3廳3衛,無,無,0,"23,800,000",豐原區,113
120.73929496919669,24.25055889087185,31,44.80,透天厝,住家用,全/三層,5房2廳3衛,無,無,0,"14,800,000",豐原區,113
120.71843949480939,24.25394378989522,27,25.90,華廈(10層含以下有電梯),住家用,八層/九層,2房1廳1衛,有,有,0,"5,950,000",豐原區,113
120.72574085973771,24.25672909961711,14,19.72,華廈(10層含以下有電梯),辦公用,六層/九層,2房2廳2衛,有,有,0,"6,700,000",豐原區,113
120.70138537759176,24.244268078515198,29,32.92,華廈(10層含以下有電梯),住家用,三層/九層,3房2廳2衛,有,有,0,"6,700,000",豐原區,113
120.70881103657733,24.25260740445908,4,101.62,透天厝,住家用,全/四層,4房3廳6衛,有,無,0,"38,000,000",豐原區,113
120.7102022692421,24.242741142146247,34,53.95,透天厝,住家用,全/三層,8房3廳3衛,無,無,0,"16,000,000",豐原區,113
120.74683152426404,24.264016118134094,1,49.07,透天厝,住家用,全/三層,4房3廳5衛,有,無,0,"21,600,000",豐原區,113
120.734803135081,24.241630258354384,8,76.25,透天厝,住家用,全/三層,4房3廳6衛,有,無,0,"24,100,000",豐原區,113
120.70615751638154,24.241658905385624,43,31.19,透天厝,住家用,全/二層,5房3廳3衛,無,無,0,"8,880,000",豐原區,113
120.7202896646135,24.250028534473376,26,11.27,華廈(10層含以下有電梯),住家用,四層/六層,1房1衛,有,無,0,"2,865,000",豐原區,113
120.71504913380468,24.2595265615329,31,25.57,華廈(10層含以下有電梯),住家用,二層/七層,3房2廳2衛,有,有,0,"6,200,000",豐原區,113
120.7180720385742,24.23746479275175,34,60.07,透天厝,住家用,全/三層,5房3廳2衛,無,無,0,"11,000,000",豐原區,113
120.72577300656116,24.25092337670295,55,26.19,透天厝,住家用,全/二層,4房2廳3衛,無,無,0,"10,000,000",豐原區,113
120.72252135971024,24.251766225845174,27,10.69,住宅大樓(11層含以上有電梯),住家用,六層/十三層,1房1衛,有,有,0,"2,600,000",豐原區,113
120.69954859407959,24.246467596762287,28,48.90,透天厝,住商用,全/四層,5房2廳4衛,無,無,0,"16,200,000",豐原區,113
120.70672584088526,24.238590065330815,25,30.08,華廈(10層含以下有電梯),住家用,九層/九層,3房2廳2衛,有,有,0,"8,600,000",豐原區,113
120.72181348349942,24.264803100355152,3,73.19,透天厝,住家用,全/四層,4房3廳5衛,無,有,0,"25,300,000",豐原區,113
120.70133167196957,24.246182168262063,37,42.15,透天厝,住家用,全/二層,4房2廳4衛,無,無,0,"10,650,000",豐原區,113
120.71761273150821,24.249265133936312,27,53.56,透天厝,住家用,全/五層,3房2廳3衛,無,無,0,"14,800,000",豐原區,113
120.75061104457605,24.265286452943503,46,28.43,透天厝,住家用,全/二層,2房2廳2衛,無,無,0,"8,600,000",豐原區,113
120.71928921444665,24.26613478096519,51,29.83,透天厝,住家用,全/二層,3房1廳2衛,無,無,0,"8,100,000",豐原區,113
